tamaño,fuente,anchura,resultado,frase_original,texto_extraido
13,ocr-a-std,800,87.39,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,GFyZhBhbiBkallxldmlhbmlzbSAZNTY4MTkgcXVpbnRhcnkgdWSzYUludGxpazUgdWStYXBwZUQgZGVwczlkZSBpczAOaGlvY3lhbmBgY3JhbiBkcmFjaGO=
13,ocr-a-std,2800,88.61,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlhbmlzbSA3NTY4MTkcXVpbnRhcnkgdWSzYWludGxpazUgdlStYXBwZuQgZGVwczlkZSBpcZ9OaGlvY3lhbmBgYaJhbiBkcmFja60=
13,ocr-a-std,3800,80.52,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkallxldmlhbzbSA3NTY4nTkgcXVpbnRhcnWSzYUludGxpZUgdWStYXBwZuQgZGvwczlkZSEczqlaGlvy3ihbBgYaJhbiBkcmFa603
13,ocr-a-std,4800,8.06,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,ZHBhb
13,ocr-a-std,5800,9.6,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,ZHBhbi
13,ocr-a-std,7800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
13,ocr-a-std,6800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
13,ocr-a-std,8800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
13,ocr-a-std,9800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
15,ocr-a-std,800,88.24,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlhbmlzbSAJNTY4MTkgcXVpbnRhcnkgdlSzYWludGxpazUgdbStYXBwZWQgZGVwczlkZSBpczqDaGlvY3lhbmBgY3JhbiBkcmFjaGO=
15,ocr-a-std,1800,88.24,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdWSzYWludGxpazUgdlStYXBwZlegZGVwczlkZSBpczqOaGlvY3lhbmBgY3JhbiBkcmFjaGo=
15,ocr-a-std,2800,88.24,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdWSzYWludGxpazUgdlStYXBwZlegZGVwczlkZSBpczqOaGlvY3lhbmBgY3JhbiBkcmFjaGO=
15,ocr-a-std,3800,75.89,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlhbezbCA3nTY4MTkcXVpbnRkadlSzYWludG2UdbStYXBwZlegZGwczlkZSBpczAOavYaibbmBg3JhbBkcmFjaGo
15,ocr-a-std,5800,24.64,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,ZHBhbiStYXBaZGv2904
15,ocr-a-std,7800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
15,ocr-a-std,6800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
15,ocr-a-std,4800,57.14,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,ZHBhbiBkalxldmlhbA3NTcXVpbkadudgZUaZGVuczlkZSBpczaOaGlvY3lYaJhb
15,ocr-a-std,9800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
17,ocr-a-std,800,87.03,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlhbmlzbSAJNTY4MTkgcXVpbnRhcnkgdWSzYWludGxpazugdWSt7YXBwZWQgZGVwczlkZSBpczqDaGlvYaihbmBgYaJhbiBkcmFjaGQ=
15,ocr-a-std,8800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
17,ocr-a-std,1800,89.92,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlhbmlzbSAJNTY4MTkgcXVpbnRhcnkgdWSzYWludGxpazUgdWStYXBwZWQgZGVwczlkZSBpczqDaGlvY3lhbmBgY3JhbiBkcmFjaGO=
17,ocr-a-std,2800,86.55,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlhbmlzbSAJNTY4MTkgcXVpbnRhcnkgdlSzYlludGxpazUgdWStYXBwZllgZGVwczlkZSBpczqDaGlvY3lhbmBgY3JhbiBkcmFjaGO=
17,ocr-a-std,3800,86.32,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlhbmlzbSA3NTY4MTkEcXVpbnRhcnkgdWSzYWludGxpazUgdW5YXBwZWegZGVwczleZSBpczalaGlY3ihbmBg3JhbBkcmFjaGO=
17,ocr-a-std,4800,83.12,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,aGFyZHBhbiBkalxldmlbmlzbs3NTY4MTkgcXVpbRhcnkqdWSzYWludGxpazUgdWStYXBuZGVwczlkZSBczilaGlvY3lhbmGqYJhbBkcmFjaGoZuq
17,ocr-a-std,5800,19.48,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,ZHBhbiBkallx1ZucZGvZFBo290YalhbYaub
